category,location,capture_date,relpath,filename,width,height,megapixels,orientation,size_mb,SELECT_yes,draft_title,draft_price_usd
Cityscapes,"Pocatello, ID",2025-09-27,Cityscapes/ID-Pocatello_BrooklynsPlayground-20250927/dji_fly_20250927_154214_0048_1759010561153_photo.JPG,dji_fly_20250927_154214_0048_1759010561153_photo.JPG,8064,4536,36.6,landscape,26.6,,Pocatello Aerial View No. 14,29
Cityscapes,"Pocatello, ID",2025-09-27,Cityscapes/ID-Pocatello_BrooklynsPlayground-20250927/dji_fly_20250927_154252_0049_1759010564470_photo.JPG,dji_fly_20250927_154252_0049_1759010564470_photo.JPG,8064,4536,36.6,landscape,26.7,,Pocatello Aerial View No. 15,29
Cityscapes,"Pocatello, ID",2025-09-27,Cityscapes/ID-Pocatello_BrooklynsPlayground-20250927/dji_fly_20250927_154330_0050_1759010565528_photo.JPG,dji_fly_20250927_154330_0050_1759010565528_photo.JPG,8064,4536,36.6,landscape,25.8,,Pocatello Aerial View No. 16,29
Cityscapes,"Pocatello, ID",2025-09-27,Cityscapes/ID-Pocatello_BrooklynsPlayground-20250927/dji_fly_20250927_154340_0051_1759010563257_photo.JPG,dji_fly_20250927_154340_0051_1759010563257_photo.JPG,8064,4536,36.6,landscape,25.8,,Pocatello Aerial View No. 17,29
Cityscapes,"Pocatello, ID",2025-09-27,Cityscapes/ID-Pocatello_BrooklynsPlayground-20250927/dji_fly_20250927_154442_0052_1759010562185_photo.JPG,dji_fly_20250927_154442_0052_1759010562185_photo.JPG,8064,4536,36.6,landscape,25.8,,Pocatello Aerial View No. 18,29
Cityscapes,"Pocatello, ID",2025-09-27,Cityscapes/ID-Pocatello_BrooklynsPlayground-20250927/dji_fly_20250927_154520_0053_1759010560050_photo.JPG,dji_fly_20250927_154520_0053_1759010560050_photo.JPG,8064,4536,36.6,landscape,27.8,,Pocatello Aerial View No. 19,29
Cityscapes,"Pocatello, ID",2025-09-27,Cityscapes/ID-Pocatello_BrooklynsPlayground-20250927/dji_fly_20250927_155326_0055_1759010540920_photo.JPG,dji_fly_20250927_155326_0055_1759010540920_photo.JPG,8064,4536,36.6,landscape,28.6,,Pocatello Aerial View No. 20,29
Cityscapes,"Kaysville, UT",2025-09-01,Cityscapes/UT-Kaysville/DJI_20250901143016_0064_D.JPG,DJI_20250901143016_0064_D.JPG,8064,4536,36.6,landscape,24.3,,Kaysville Aerial View No. 01,29
Cityscapes,"Kaysville, UT",2025-09-01,Cityscapes/UT-Kaysville/DJI_20250901143045_0065_D.JPG,DJI_20250901143045_0065_D.JPG,8064,4536,36.6,landscape,27.2,,Kaysville Aerial View No. 02,29
Cityscapes,"Kaysville, UT",2025-09-01,Cityscapes/UT-Kaysville/DJI_20250901143100_0066_D.JPG,DJI_20250901143100_0066_D.JPG,8064,4536,36.6,landscape,26.6,,Kaysville Aerial View No. 03,29
Cityscapes,"Kaysville, UT",2025-09-01,Cityscapes/UT-Kaysville/DJI_20250901143510_0071_D.JPG,DJI_20250901143510_0071_D.JPG,8064,4536,36.6,landscape,25.8,,Kaysville Aerial View No. 04,29
Cityscapes,"Kaysville, UT",2025-09-01,Cityscapes/UT-Kaysville/DJI_20250901143525_0072_D.JPG,DJI_20250901143525_0072_D.JPG,8064,4536,36.6,landscape,27.1,,Kaysville Aerial View No. 05,29
